Source Port,Target Port,Traveltime
Nantong,Wuhan,101.08225108225105
Wuhan,Nantong,44.99036608863199
Nantong,Jiayu,114.82683982683979
Jiayu,Nantong,51.10789980732177
Nantong,Honghu,119.69696969696966
Honghu,Nantong,53.27552986512524
Nantong,Chenglingji,125.75757575757572
Chenglingji,Nantong,55.97302504816956
Nantong,Changsha,136.88474338763353
Changsha,Nantong,80.97302504816956
Nantong,Jingzhou,144.83272026624624
Jingzhou,Nantong,98.83016790531242
Nantong,Yichang,152.8770362585391
Yichang,Nantong,116.90376097890548
Nantong,Chongqing,184.66894377298996
Chongqing,Nantong,188.33233240747694
Zhangjiagang,Jiangyin,3.896103896103896
Jiangyin,Zhangjiagang,1.7341040462427748
Zhangjiagang,Gaogang,10.606060606060606
Gaogang,Zhangjiagang,4.720616570327554
Zhangjiagang,Zhenjiang,16.558441558441558
Zhenjiang,Zhangjiagang,7.3699421965317935
Zhangjiagang,Nanjing,25.216450216450216
Nanjing,Zhangjiagang,11.223506743737959
Zhangjiagang,Ma'anshan,30.194805194805195
Ma'anshan,Zhangjiagang,13.439306358381504
Zhangjiagang,Wuhu,34.84848484848485
Wuhu,Zhangjiagang,15.510597302504818
Zhangjiagang,Hefei,49.350649350649356
Hefei,Zhangjiagang,21.965317919075144
Zhangjiagang,Tongling,45.02164502164503
Tongling,Zhangjiagang,20.038535645472063
Zhangjiagang,Chizhou,49.350649350649356
Chizhou,Zhangjiagang,21.965317919075144
Zhangjiagang,Anqing,55.62770562770563
Anqing,Zhangjiagang,24.759152215799613
Zhangjiagang,Jiujiang,72.1861471861472
Jiujiang,Zhangjiagang,32.129094412331405
Zhangjiagang,Nanchang,89.93506493506494
Nanchang,Zhangjiagang,40.02890173410405
Zhangjiagang,Huangshi,84.74025974025975
Huangshi,Zhangjiagang,37.71676300578036
Zhangjiagang,Huanggang,88.2034632034632
Huanggang,Zhangjiagang,39.258188824662824
Zhangjiagang,Wuhan,98.7012987012987
Wuhan,Zhangjiagang,43.930635838150295
Zhangjiagang,Jiayu,112.44588744588744
Jiayu,Zhangjiagang,50.04816955684008
Zhangjiagang,Honghu,117.31601731601731
Honghu,Zhangjiagang,52.21579961464355
Zhangjiagang,Chenglingji,123.37662337662337
Chenglingji,Zhangjiagang,54.91329479768787
Zhangjiagang,Changsha,134.50379100668118
Changsha,Zhangjiagang,79.91329479768787
Zhangjiagang,Jingzhou,142.4517678852939
Jingzhou,Zhangjiagang,97.77043765483073
Zhangjiagang,Yichang,150.49608387758676
Yichang,Zhangjiagang,115.84403072842379
Zhangjiagang,Chongqing,182.2879913920376
Chongqing,Zhangjiagang,187.27260215699525
Jiangyin,Gaogang,6.7099567099567095
Gaogang,Jiangyin,2.9865125240847785
Jiangyin,Zhenjiang,12.662337662337663
Zhenjiang,Jiangyin,5.635838150289018
Jiangyin,Nanjing,21.32034632034632
Nanjing,Jiangyin,9.489402697495184
Jiangyin,Ma'anshan,26.2987012987013
Ma'anshan,Jiangyin,11.705202312138729
Jiangyin,Wuhu,30.952380952380953
Wuhu,Jiangyin,13.776493256262043
Jiangyin,Hefei,45.45454545454545
Hefei,Jiangyin,20.23121387283237
Jiangyin,Tongling,41.125541125541126
Tongling,Jiangyin,18.30443159922929
Jiangyin,Chizhou,45.45454545454545
Chizhou,Jiangyin,20.23121387283237
Jiangyin,Anqing,51.73160173160173
Anqing,Jiangyin,23.02504816955684
Jiangyin,Jiujiang,68.29004329004329
Jiujiang,Jiangyin,30.394990366088628
Jiangyin,Nanchang,86.03896103896103
Nanchang,Jiangyin,38.294797687861276
Jiangyin,Huangshi,80.84415584415584
Huangshi,Jiangyin,35.98265895953758
Jiangyin,Huanggang,84.30735930735929
Huanggang,Jiangyin,37.52408477842005
Jiangyin,Wuhan,94.80519480519479
Wuhan,Jiangyin,42.19653179190752
Jiangyin,Jiayu,108.54978354978353
Jiayu,Jiangyin,48.3140655105973
